2025-06-14 18:33:05.340 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para EQTL3.SA
2025-06-14 18:33:09.001 | INFO     | __main__:obter_dados_historicos_yahoo:103 - FLRY3.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:09.004 | INFO     | __main__:obter_dados_historicos_yahoo:121 - FLRY3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:09.007 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para FLRY3.SA
2025-06-14 18:33:12.323 | INFO     | __main__:obter_dados_historicos_yahoo:103 - GGBR4.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:12.328 | INFO     | __main__:obter_dados_historicos_yahoo:121 - GGBR4.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:12.330 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para GGBR4.SA
2025-06-14 18:33:16.196 | INFO     | __main__:obter_dados_historicos_yahoo:103 - GOAU4.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:16.200 | INFO     | __main__:obter_dados_historicos_yahoo:121 - GOAU4.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:16.202 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para GOAU4.SA
2025-06-14 18:33:19.687 | INFO     | __main__:obter_dados_historicos_yahoo:103 - NTCO3.SA - Registros brutos recebidos: 1363
2025-06-14 18:33:19.691 | INFO     | __main__:obter_dados_historicos_yahoo:121 - NTCO3.SA - Registros válidos após limpeza e corte até ontem: 1363
2025-06-14 18:33:19.693 | INFO     | __main__:<module>:221 - Atualizados 1363 registros para NTCO3.SA
2025-06-14 18:33:23.177 | INFO     | __main__:obter_dados_historicos_yahoo:103 - HAPV3.SA - Registros brutos recebidos: 1771
2025-06-14 18:33:23.181 | INFO     | __main__:obter_dados_historicos_yahoo:121 - HAPV3.SA - Registros válidos após limpeza e corte até ontem: 1771
2025-06-14 18:33:23.183 | INFO     | __main__:<module>:221 - Atualizados 1771 registros para HAPV3.SA
2025-06-14 18:33:26.872 | INFO     | __main__:obter_dados_historicos_yahoo:103 - HYPE3.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:26.876 | INFO     | __main__:obter_dados_historicos_yahoo:121 - HYPE3.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:26.880 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para HYPE3.SA
2025-06-14 18:33:30.329 | INFO     | __main__:obter_dados_historicos_yahoo:103 - IGTI11.SA - Registros brutos recebidos: 889
2025-06-14 18:33:30.331 | INFO     | __main__:obter_dados_historicos_yahoo:121 - IGTI11.SA - Registros válidos após limpeza e corte até ontem: 889
2025-06-14 18:33:30.334 | INFO     | __main__:<module>:221 - Atualizados 889 registros para IGTI11.SA
2025-06-14 18:33:34.001 | INFO     | __main__:obter_dados_historicos_yahoo:103 - IRBR3.SA - Registros brutos recebidos: 1960
2025-06-14 18:33:34.005 | INFO     | __main__:obter_dados_historicos_yahoo:121 - IRBR3.SA - Registros válidos após limpeza e corte até ontem: 1960
2025-06-14 18:33:34.008 | INFO     | __main__:<module>:221 - Atualizados 1960 registros para IRBR3.SA
2025-06-14 18:33:37.659 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ISAE4.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:37.668 | WARNING  | __main__:obter_dados_historicos_yahoo:117 - ISAE4.SA - 11 linhas removidas por dados essenciais ausentes (OHLC/Adj Close)
2025-06-14 18:33:37.670 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ISAE4.SA - Registros válidos após limpeza e corte até ontem: 2476
2025-06-14 18:33:37.676 | INFO     | __main__:<module>:221 - Atualizados 2476 registros para ISAE4.SA
2025-06-14 18:33:41.759 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ITSA4.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:41.766 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ITSA4.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:41.770 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para ITSA4.SA
2025-06-14 18:33:45.599 | INFO     | __main__:obter_dados_historicos_yahoo:103 - ITUB4.SA - Registros brutos recebidos: 2487
2025-06-14 18:33:45.606 | INFO     | __main__:obter_dados_historicos_yahoo:121 - ITUB4.SA - Registros válidos após limpeza e corte até ontem: 2487
2025-06-14 18:33:45.611 | INFO     | __main__:<module>:221 - Atualizados 2487 registros para ITUB4.SA
